reservoir_id,AREA_SKM,CAP_MCM,CATCH_SKM,DAM_HGT_M,ELEV_MASL,LAT,LON
10,1.15,24.0,60.01258,65.73,1319.0,40.61252378961576,-4.221482484547186
25,1.67,20.0,247.722496,44.5,110.28,37.53220205228239,-6.283464668338153
33,1.77,22.0,806.642944,37.6,662.12,40.52978193761102,-6.4816136770175605
36,16.46,247.0,554.384512,48.0,943.3,42.795091092388176,-4.287344121739031
52,43.85,879.0,2507.140096,70.38,278.98,38.78746085262364,-6.268303064335873
53,68.4,1118.0,2945.070848,67.0,814.0,39.56435486926958,-2.112250166660692
58,3.36,91.0,203.179344,90.0,267.0,42.39975020321595,-8.190412974820521
68,5.8,20.0,47278.1824,23.35,15.35,37.51858499799669,-5.976243630842526
79,5.8,173.0,380.753312,73.5,922.52,41.00858162469012,-3.02478278721139
84,3.68,114.0,72062.533632,139.5,333.0,41.21167844432353,-6.685785895405362
93,2.23,14.0,844.440448,47.0,303.0,38.22320839990423,-1.5995276832588503
110,9.3,65.0,189.359104,66.8,469.69,42.70627432045142,-1.9424990309618757
116,79.4,2649.0,7029.84448,202.0,732.0,41.2714941883684,-6.32020866939067
126,1.83,23.0,17.592754,49.32,843.0,43.09473278626372,-3.999959427782458
132,1.03,16.0,217.590224,64.15,129.65,38.53372204155198,-0.2647868231143145
143,36.3,600.0,750.456064,69.5,116.5,37.62519579322198,-7.400502871575167
151,2.01,37.0,57.678612,79.0,162.5,43.21230153008607,-1.875245447290588
153,8.44,129.0,400.901152,59.5,345.5,37.90788968450591,-6.451845093912289
160,2.7,38.0,2530.85824,31.5,35.7,43.47709268534148,-6.730168412470145
165,2.8,14.0,1382.400256,22.0,69.0,36.751339378621374,-5.795583100092626
171,3.87,139.0,1433.60192,107.0,603.0,40.08601140764478,-0.5484827632719177
173,7.64,167.0,397.109088,77.5,215.0,38.02100765901684,-4.441238094209731
174,1.12,10.0,459.722304,33.0,416.66,38.17239781975271,-1.7335303235367026
179,1.27,22.0,104.450336,47.2,1143.8,42.26394295095481,-3.3395714465146997
183,1.43,21.0,827.442944,54.0,978.96,40.36399506438495,-1.2048948415749872
216,2.84,37.0,357.232768,44.71,911.14,41.07533257747947,-2.7850622808114296
217,10.7,425.0,934.837824,141.4,873.4,40.91196214106357,-3.4734871719805587
231,12.5,84.0,34858.278912,55.0,357.0,39.77793462448877,-5.089117158533514
234,3.65,109.0,504.41824,102.35,632.35,42.1219673715639,1.8783426277657531
255,8.2,238.0,724.310528,107.0,654.2,42.24645747729405,-7.16715808082525
256,6.64,85.0,1516.723712,65.5,448.99,42.12423078074054,0.3111478290626586
257,25.4,231.0,362.01584,30.0,42.0,36.37044292973538,-5.741441732957311
259,2.0,33.0,1204.644352,73.5,213.5,43.32062307802154,-6.304152076865696
260,10.63,340.0,829.613952,109.0,625.0,42.57746699231775,-6.560291386216242
284,2.06,24.0,1448.799616,48.0,150.67,42.86496919006788,-8.79707815755296
285,11.22,308.0,486.024768,96.2,1111.2,42.84971761197054,-5.863724700824707
290,0.93,22.0,81.026288,86.0,1437.5,42.57871331614974,0.7587467425305989
311,2.55,53.0,476.493312,56.9,846.0,40.93386514215442,-3.1960074805904517
312,19.1,654.0,4358.391808,129.0,332.0,42.62877715850456,-7.712393868818466
314,7.02,69.0,492.540448,43.0,159.0,38.93970904446421,-0.477464632718317
316,11.98,328.0,1652.084096,99.0,185.0,37.901787897533566,-5.210517328794264
317,1.02,12.0,1765.980672,37.0,97.5,37.824722510642914,-5.237208101582801
319,7.22,221.0,4264.304128,110.0,530.0,39.72646788110617,-1.098602571020541
324,2.68,27.0,463.919168,53.0,320.65,38.81491699139416,-0.3561554453371236
328,2.43,70.0,535.167072,87.0,367.0,36.87632321364803,-3.027558357955343
333,5.58,91.0,282.895296,67.19,831.99,36.99606480714897,-3.8936336188781047
342,1.7,54.0,356.837664,134.0,488.8,36.915204268540165,-3.5401619065021865
351,3.63,60.0,183.039296,63.0,160.0,42.34057970751784,2.833176631893356
356,5.1,31.0,7407.744512,36.0,643.0,40.363245856078485,-2.818681193188389
358,2.54,54.0,176.388624,48.09,973.09,37.76224897072205,-2.9031335478339444
365,8.9,88.0,315.094272,6.3,315.05,40.13277182670136,-6.585707559689673
369,23.41,200.0,1346.62592,59.1,108.5,36.7905754975446,-5.76131138175757
380,19.75,823.0,1510.766592,124.0,184.0,37.82682014922471,-5.044028582934704
386,3.12,64.0,290.5168,90.0,1088.0,42.680981590358286,-0.3157612565343441
391,82.56,1651.0,3311.03616,78.7,714.28,40.39922274179145,-2.7838218205010112
400,1.32,14.0,837.501504,39.8,876.5,41.33731118949975,-3.885412406686281
401,9.1,198.0,1044.33856,91.0,730.0,40.42468081509875,-4.533923390641467
427,4.45,59.0,512.41456,52.95,281.85,37.72222689736105,-6.088966254327985
430,3.12,54.0,2667.128064,63.5,443.5,40.91547461374744,-0.2112127518038116
