basin_id,KGE,alpha,beta,r
9,0.044730803282646114,0.15720794112437397,0.8172442442550286,0.589097192227546
10,0.08243467972392704,0.18502282455750463,0.7411551467787478,0.6672273111537352
12,0.26771329084399453,1.2858522224007045,0.8537449099975286,0.3418649226765989
13,0.5736527250236949,1.2994662596468902,0.7809532413008982,0.7899750592995206
18,0.21575328935406746,1.3169340599904302,0.7875179869729588,0.31483790318135396
20,-1.5104462334281776,3.2953993170098945,0.4755838837507596,0.12909816659838325
21,-0.5906291820793108,2.278807430624777,0.1874326624466886,0.5157613478844592
23,0.2915945691310573,1.4493230454571258,0.8496697190810615,0.47336173520662295
24,0.3273090968874185,1.5594215013027921,0.8813207648168558,0.6457742610327497
26,-0.47184807882274526,2.389221082951258,0.7330765920703842,0.5936092470082762
27,0.2687853641850243,0.9653223481521501,0.6654990480822162,0.3507069865935386
30,0.2683045280976588,1.6791155469603904,1.0612817758778867,0.7346231332155498
33,0.4163334260327417,1.3981295415321562,0.9362888097988037,0.5779805431390407
38,0.15083611706692845,0.22092455914870932,0.8849509199072069,0.6823768479626517
41,0.47883211800447223,0.6304057126322188,0.6968131102248339,0.7924096971502098
42,0.4427017577067437,0.5727362489833999,1.0532768998214115,0.6461800035670722
43,0.18838243728827664,0.2326759459753591,0.8795202738421393,0.7645822865580519
49,0.15685244363919293,0.28785866156497425,0.6630346206025955,0.6996554495637821
53,0.17808660221166217,0.29624850689677534,0.9992363245366435,0.5754120983603761
55,0.3356166745246998,1.2285532237676169,0.6716867521306537,0.4695482695395089
59,-0.0027943213702308345,1.8602375749856483,0.6513442132164569,0.6204912281678576
61,0.344496454635823,0.44196957553935085,0.8095284985665873,0.7136303952878817
62,0.04790919814706063,1.7805188222419386,0.7211411024418145,0.5314864160436076
64,-2.602176556829303,4.422978335437945,0.33701891272319967,0.09481971983125732
65,0.5945033193915163,0.7905712104810251,0.7600848689084422,0.7489863151570494
67,0.6001363518252509,0.7472575670971079,1.1497056590364414,0.7287060350940122
70,-0.12462751703231523,1.7976110019556613,0.8626354510175899,0.2191448775166962
72,0.2337759273704786,1.6044573185051219,0.6945005627779776,0.641669463428533
79,-0.42011534575345366,2.0999470752759457,0.894954676470118,0.10791844159805278
81,-0.3943000778715626,2.068204833150124,0.3820724625610356,0.3510187213316719
83,0.22131286970154518,1.6499870910073644,0.7058161262669066,0.6880284037742886
86,0.1182223741731101,0.3657055176120383,0.5163030457506588,0.6241814966356698
89,0.3926853069345718,1.371824266691135,0.7603019945439169,0.5839198186729745
92,0.46857375514302546,0.6074418344179965,0.96637973699544,0.6433746808298917
94,0.5393473270147425,0.6678585419888766,0.817945376830308,0.7378186673669364
98,0.268649140303568,0.4156493715841487,0.7747475853511817,0.6222834756810517
99,0.3636802058864218,0.4912829021428358,0.7156728891465924,0.7445241914343257
4195,0.08514947167988896,0.3155434411920121,0.6643780460521264,0.49420497007134884
4199,0.4068821045435379,1.162395277114056,0.6335417794166032,0.5628215645201583
4200,-0.10871667652032402,0.5977102182828591,1.8287497942378204,0.3830807355325836
106,0.174809058329645,0.33955337843004213,0.6160024264531987,0.6880765898785326
109,0.24434828168931788,0.35220037142861266,0.8231946579045545,0.6534382715659857
