basin_id,UZTC,LZTC,GwPercValue,LZthreshold,b_Xinanjiang,PowerPrefFlow,SnowMeltCoef,CalChanMan1,CalChanMan2,LakeMultiplier,adjustNormalFlood,ReservoirRnormqMult,QSplitMult,GwLoss
9,35.04697761,174.1005227,0.68948291,6.9659924,0.336027228,7.639574509,5.196767322,1.33769279,1.467840075,0.820687799,0.480303408,0.334630503,3.016141454,0.1235162
10,33.53487652,178.8639544,0.625289738,7.590296235,0.225800501,7.708715391,5.095005336,1.400390235,1.625720577,0.851731466,0.471822164,0.331355567,4.047669994,0.120759368
12,15.4236792,224.7758751,1.255311963,13.19828574,1.321292825,6.417544472,4.072576692,1.528348572,3.189596129,1.602105743,0.354141443,0.761761737,9.842862218,0.301348798
13,18.19481692,224.130591,1.077660506,14.42852132,2.115435364,6.192758068,3.619453924,1.434069785,2.826215415,1.613150783,0.488519313,0.72873493,8.985471058,0.269300238
18,21.342455071117097,338.19905360045624,0.936554746294068,24.75917813170035,3.618967881030817,5.071858020358492,4.466212902652227,1.2674101621059417,2.737210382105589,1.563101314285698,0.4558870308053162,0.7180711052493844,3.805020190084496,0.5093213482311353
20,31.26205579,178.005777,0.78854145,8.041715072,1.23980646,4.433801461,5.160194236,1.20640458,1.676485173,0.799797878,0.673101578,0.907550606,6.698394646,0.465857977
21,19.37642049567196,237.02735551974015,0.9566697450331844,17.72873092901071,1.1670723064150657,6.78484862273362,3.321705797325704,1.6173165505838871,3.219971629625249,1.802008316388901,0.5360700619029741,0.5166989933555398,8.400785973482982,0.1275519223530081
23,14.148860356281403,244.69981920965407,1.1382813616327847,15.519693441830515,2.3689727356949453,5.504429625328299,3.955907760733026,1.4720240266936313,3.1937974090393144,1.6591157168011654,0.4976650734736394,0.781432524091314,9.888706973468317,0.3482357276468334
24,16.21643563,219.761225,1.037641889,14.74484585,1.943724547,6.258865774,3.731722911,1.503853154,3.242450283,1.706835047,0.494650196,0.771807791,9.317321748,0.262518509
26,20.76466056,177.3425183,1.216386087,8.967118812,1.344813981,6.864694829,3.869168969,1.397043922,2.614410308,0.946640599,0.729753392,0.541017422,7.405138264,0.145413807
27,21.64495900202246,227.06137476515943,1.1311077064543469,15.758686795375706,1.0831091939949418,7.264448948151223,3.4696251308527843,1.583763675862285,3.277403338745373,1.7438917251768915,0.6267573798864309,0.4577570141162423,7.193711284198453,0.0901269986141133
30,16.26568747617557,133.68410311008043,1.2953465170248375,5.763379396925835,1.94388352780704,6.857667674558474,3.4588872289721824,1.303308916184553,2.333547697280397,0.9596823896869112,0.7639305665577831,0.6295409594692285,11.92608030291196,0.1674870122574256
33,15.54369816,259.1728862,1.093487671,16.35292865,2.475629629,5.975452614,3.860848598,1.473241497,3.049841318,1.708115325,0.409090161,0.768043677,8.611330987,0.299968686
38,33.32014813,182.5874741,0.619568225,7.764445687,0.229733823,7.69098171,5.059600034,1.415363939,1.64468218,0.861829315,0.484238867,0.341199127,4.282539788,0.115486298
41,26.2795705,74.67529691,1.409373677,1.932792091,0.438818808,7.563544461,2.83686055,1.521301138,2.008094859,1.14843344,0.869158804,0.382050031,16.51632983,0.055154072
42,31.89221933,66.8833331,1.356431659,1.165001442,0.480895679,7.633333795,2.844605401,1.587368758,1.152083425,0.671354469,0.891006534,0.34850063,16.3432103,0.049045899
43,31.52320224,185.6495168,0.640685933,8.292769419,0.308468046,7.546280059,4.868291707,1.475635958,1.817929228,0.907994011,0.486706002,0.354788963,4.849285416,0.120969138
49,31.68590255,158.2943026,0.885829061,6.652730831,0.38608708,7.49333906,4.428543758,1.441834723,1.805895993,0.839793111,0.60001747,0.405446572,8.824205361,0.101168522
53,26.70604889,98.05687374,1.426529915,3.538831512,0.40963997,7.22230316,3.239145021,1.524418811,2.020427416,0.889614369,0.746249145,0.471480253,15.24373492,0.116306073
55,27.69395259,225.5759554,0.620092075,11.44021344,1.134996819,7.097887212,4.726307238,1.453050196,2.104343332,0.983080523,0.490875485,0.461885392,5.892524628,0.184643974
59,28.47447384,209.9169457,0.675846045,10.02839093,0.942304313,7.224326079,4.768691565,1.474789431,1.998679203,0.960110527,0.580138894,0.455013269,4.185894256,0.135712192
61,37.7962557,88.79725538,0.732871113,2.448509161,0.277831495,7.138745114,4.286908902,1.518580639,0.791087956,0.569496212,0.759220752,0.365944034,8.969917934,0.187314871
62,17.62541088,239.9944133,1.330191786,13.04819522,2.568106478,4.945920825,3.977631279,1.402410994,2.58717056,1.328214985,0.596195694,0.732325401,9.816143065,0.32533144
64,32.32014237,141.953529,1.43273876,6.833586004,1.111858284,2.556231381,5.745124513,0.886684211,2.44588672,0.729592052,0.715833557,1.138044023,3.458510424,0.765115869
65,29.29027259,204.3025423,0.374407598,10.83054716,0.850524037,6.729701022,4.568542203,1.590721054,1.692875044,0.937318883,0.564957511,0.486607466,4.724500899,0.201146959
67,36.39963092,47.12157701,0.79542334,0.241629538,0.375642012,7.669454719,2.690535246,1.641253257,0.996088377,0.897783695,0.935695165,0.30481717,16.81180566,0.038628703
70,29.58094945,300.0565581,0.701436413,20.2828301,3.19761557,6.687912078,4.446969165,1.364349035,2.214367579,1.699492711,0.356345287,0.465115145,6.822611296,0.264171126
72,22.60695746,180.5728105,1.222361242,8.760722723,1.129851665,7.068043077,4.088527531,1.461509076,2.431969338,0.851793472,0.719060826,0.429449574,5.501311393,0.137121159
79,31.07796118,293.1224153,0.654534284,19.90150156,3.124786052,6.779157154,4.430700569,1.344195536,2.112536599,1.723594591,0.384692164,0.444365803,7.160613991,0.238126294
81,16.96260627,175.8554637,1.347506028,12.92552858,1.030385218,6.809650042,3.41766535,1.549388157,3.236987223,1.284277938,0.645184184,0.444421894,5.984713757,0.132665142
83,13.24084777,177.515994,1.482767911,9.920200872,1.259841096,6.813045623,3.581483485,1.346607656,3.454113265,1.002788887,0.758192971,0.484812418,4.853369881,0.17301571
86,17.20365264,211.1976316,1.389391623,12.06516844,0.998144433,6.679796955,3.948826961,1.493976324,3.094294825,1.690860437,0.420682347,0.615909807,11.05563603,0.264917571
89,16.95881097,149.250056,1.244270699,6.774002842,0.850382498,6.052479691,3.807771002,1.462651332,3.091205619,1.388945417,0.472654795,0.7044864,11.90332283,0.266954529
92,36.38544892,53.31968325,0.952168598,0.471630334,0.238799748,7.671894006,2.72851696,1.638481413,0.877632478,0.740444435,0.928146272,0.318307452,16.9386827,0.042657976
94,36.24989137,94.96804324,0.741184,2.724687358,0.375982618,7.011487941,4.301205425,1.48399447,1.208921224,0.669267289,0.725688445,0.40398452,9.654595833,0.19460731
98,32.67799424,77.9119476,1.425434237,1.868911397,0.228170176,7.452305591,3.009807412,1.521786751,1.283646085,0.630761456,0.837974432,0.400795062,16.52161991,0.082294052
99,36.19952999,62.12863535,1.339136897,0.925223974,0.16770086,7.646390924,2.833651008,1.51497938,0.761975088,0.547859256,0.903444121,0.353373223,17.23597871,0.046879598
4195,30.46306656,58.08503914,1.792780739,0.972390782,0.141101806,7.658845295,2.794876848,1.344530258,1.472099501,0.848819826,0.846023567,0.370302736,17.35286272,0.046399962
4199,15.43751614,37.16924357,1.764273409,0.446794785,1.521435611,5.622424484,2.65038168,1.506136678,3.618199111,1.845796243,0.569751198,0.48741986,6.090998502,0.113305256
4200,5.743432108,185.4514862,0.998466729,9.501599121,1.507736691,6.008263786,4.030892175,1.521605705,3.872120389,1.721378709,0.267683942,0.990313965,11.67892903,0.241741429
106,31.09582472,82.89474199,1.370913304,2.26874565,0.298542647,7.267205998,3.142799787,1.427336474,1.524496946,0.635180726,0.805013669,0.403836665,15.79054837,0.120023643
109,35.604593238932026,65.69649572442057,1.3992176761580042,1.1268027372409346,0.1784050025731693,7.639290717305815,2.8489273544909737,1.5339543265441946,0.8437416313968251,0.5519356634185778,0.8994717951852624,0.3496005130638611,17.095704056843253,0.0484763486074144
110,32.84621000143036,149.84646786026414,0.8945489064361382,7.018853271941275,1.0071879752201245,4.891928006726461,5.042492551403751,0.9014391329429754,1.6440133118208866,0.7364812161723239,0.772207731208977,0.7447102118206559,3.656557989487754,0.2832089850915684
4208,8.776019868,101.0677716,1.722450295,3.975130876,0.683402269,5.423072769,3.131837254,1.822967634,3.844389219,1.860854432,0.312202778,0.44246008,3.189965021,0.118345565
4209,12.48740691,132.7254416,1.330167027,5.732896177,0.927702173,6.274819142,3.500049464,1.650367984,3.61015906,1.621205458,0.479969049,0.573087633,4.81370799,0.157537057
116,18.70378026,220.3684455,1.324903877,12.30220397,2.213351656,5.5802805,3.846271495,1.437250667,2.611103366,1.330607999,0.564409278,0.680925054,10.30378362,0.274256245
117,36.09117824827995,144.58622951955493,0.2331742055709549,5.07060950804107,0.3667358688798072,6.177565586603492,5.2853015238407615,1.4297755834529964,0.9148373401764172,0.6228400802178827,0.6728591725242318,0.5705501968074376,3.0760643554204226,0.2786800571847915
4212,25.64979348,289.0445539,1.199780769,12.40470872,0.908177838,5.679415078,4.547648408,1.35757869,2.370908132,0.978801496,0.541639222,0.649969609,6.2551711,0.269689814
119,28.197449224745945,100.13763204696696,1.4659239989055513,3.285692781925976,0.2972531956897339,7.251817507416511,3.2818918125918746,1.5121890146159067,1.8158599459437856,0.6751173213306025,0.75903556957518,0.4514084534125456,14.843943914727358,0.1237921382723877
4213,18.74288251,424.9477446,1.296284962,20.69438528,3.848354843,1.548699018,5.495735006,0.735466218,3.610435094,0.835895915,0.226208486,1.739882548,12.63012508,0.864631798
122,36.66046212222176,59.37669993088784,1.3391246300321202,0.7600270033139083,0.2399182167433959,7.593148695919043,2.761022812454621,1.202114008269694,0.6775229172669293,0.5599411056767276,0.90570549996882,0.3626985396459761,16.20221070674947,0.0587234332803476
124,28.24052155,93.35247349,1.565950176,3.096241598,0.636812758,7.296272711,3.084818546,1.412402962,1.457451007,0.857077609,0.802450848,0.437667109,15.79024729,0.088782316
128,37.30158391864923,56.16925220597554,1.0147384951247365,0.5741036020602408,0.1434046715617156,7.654506346929682,2.7446213780172397,1.6261268269573097,0.758968084940046,0.6515089743473798,0.9259443606123196,0.3295625610959048,17.107503549533888,0.0480331046644742
134,37.023463481243056,58.2433590811178,1.5246946827596992,0.5656136334344755,0.1319333071919299,7.696054488556664,2.741824003500438,1.5552917062186524,0.6565045099383973,0.5345028411394824,0.9173470811712388,0.3285185528735528,17.474519562757273,0.0415188760812968
4233,25.66886592,274.0800088,1.373728224,11.72934648,1.072483212,5.589154254,4.21369683,1.372815726,2.351669443,1.075143701,0.559429949,0.608554095,5.339302993,0.224853663
139,34.23222055,170.017105,0.315924219,7.135704667,0.419245807,6.777610128,4.999405378,1.493787081,1.20834623,0.749746737,0.617818919,0.511737053,4.089753894,0.191106211
145,34.450194612533764,69.87152108471375,1.4679753295115636,1.469725702171763,0.230886136517359,7.620837636524747,2.919659632965997,1.41124031797799,0.9997511892610864,0.5727855951239158,0.8799303720776708,0.365359976209925,16.74181332200608,0.0554963041232209
152,16.09857354,140.9578569,1.427265327,8.457712174,1.395760671,6.995468134,3.452522118,1.301652308,3.040936,1.107977552,0.766032691,0.502729151,7.774238145,0.118319139
4258,6.960680007,88.43212338,0.941419279,3.642697525,0.482276262,6.745002631,3.332712762,1.391334183,4.051412783,0.928956296,0.873856219,0.477795557,3.359364839,0.184669227
163,32.23751752,69.55157132,1.564821248,1.487427102,0.217437709,7.295059982,2.983194393,1.422876733,1.389371297,0.597602136,0.863995964,0.393419739,16.73675182,0.128073186
179,33.041169668956115,75.08819253875205,1.3107626052301944,1.6997719447210624,0.2511519495355604,7.3088698804976975,3.109494818246984,1.4944658494531928,1.2056331806233764,0.5715682510519615,0.8398094869037526,0.3972967314411859,15.69633856135466,0.1299443256720127
183,29.618828421439755,97.92311658686492,1.383689345051029,3.2153454339952976,0.7094170459942784,7.454965838926164,3.0612653595911583,1.372024026733357,1.457761210570056,0.6589388604155388,0.7891399779346848,0.4200357699354261,15.052729037924646,0.0764375283718544
184,13.190275648061212,233.6406595917073,1.0330035112905522,17.243536488749342,2.7117902109213614,7.078679858112254,3.36780670282249,1.5529098668214971,3.300194680884148,1.7702403271353613,0.4644161342108349,0.4613272299659614,7.405711764255716,0.2031031539536588
4280,8.819125088,94.04073845,1.569887188,3.659041212,0.645565481,6.102959007,3.100258746,1.819837699,3.866250457,1.872461001,0.319862906,0.444333299,3.417965547,0.101126057
187,20.364372168856228,323.8084326633412,1.5303070156948466,20.999395478439897,4.088583085746228,7.190520883667912,3.417358659809977,1.5764444861569613,3.2596371013532446,1.6041219080644649,0.1818418429307347,0.4108525592821864,12.666887224882409,0.2517234422428457
189,32.7326375,84.9605029,1.064850912,2.4997368,0.660444938,6.757150964,3.851879921,1.330954247,1.405983737,0.611043826,0.802693833,0.536317827,12.56494377,0.224743145
201,34.39100083327733,99.83576784237434,0.6930941819152581,3.05483134332596,0.4836294822624645,7.294201993097661,4.586878983405625,1.2066802864289756,1.5317828167581635,0.6413835605966592,0.7331423833733077,0.4567790891644487,8.394028099284276,0.1659111594296765
208,20.54078058244467,135.93212912350694,1.5713343416611614,5.620645290735505,0.6202615185812056,6.436617144843844,3.446131788270626,1.4367463527002364,2.6212977229228214,1.1158515638764088,0.7252135806836887,0.6361364459546219,14.92481814835035,0.2221004117824754
210,35.32502404,84.26115223,0.841222595,2.507093448,0.767050305,6.850057906,3.836363065,1.535660951,0.973085855,0.632367086,0.802409013,0.428276193,11.19326238,0.23681145
214,34.06538364841073,69.2393973909771,1.4623458642707632,1.4243303597237915,0.213724576007084,7.39277064135373,2.981671948673456,1.400633028845107,1.1188759552332823,0.5671624037163805,0.8551585837248779,0.383033973783918,16.445683086037143,0.1091123628979758
215,31.476732100085,218.0212972503673,0.5336716532005875,8.740037005073788,1.3938277537638857,3.937663536962574,5.399608864759718,1.069828852266397,1.465988719171032,0.7244859879367223,0.6306243730897144,1.1001882319521077,5.625902593523512,0.4868694265276717
217,37.06122869299318,70.52773246824557,0.6123894504697072,1.6623051176374446,1.016711160706578,6.579299184120933,3.941618467479222,1.6339495614404071,0.7216293045033386,0.5626677520364433,0.8561139625390943,0.4752467844262149,10.777419576264151,0.262789904217895
222,21.78761218,221.1733243,1.021213711,11.38720155,1.196086952,6.45554702,4.158330881,1.529728029,2.704590475,1.165051664,0.565534014,0.642446001,8.350278273,0.24047596
223,15.840343466510172,139.72263830482166,1.175587708608846,5.411812134732463,1.037416812172617,6.972229373618884,2.9996189108488824,1.159298528818966,2.988671054151181,1.6727642757093864,0.7150064949281114,0.4880887517664748,8.21907777809897,0.1248282168011425
228,33.1488402,215.0770325,0.631710371,9.121860254,1.948229225,3.666255715,4.792088003,1.32855595,1.411526779,0.734087261,0.529588414,1.087023098,10.05122013,0.621287576
230,15.99265948,290.9681649,1.126927612,21.28099506,3.413059559,6.977063454,3.44763762,1.539002678,3.207990609,1.826639353,0.312356398,0.48535731,9.492695847,0.200390337
231,20.37190965,125.1682417,1.28511019,5.48899823,1.063669401,6.460541335,3.385104658,1.200086451,2.913312014,0.784868437,0.813314264,0.582246076,13.99941353,0.251965208
